Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Fri, Mar 28",Cal State East Bay *,30,-,Hayward,4 - 5 (L) STATS NOTES,0.0,1
"Fri, Mar 28",Cal State East Bay *,30,-,Hayward,10 - 3 (W) (7) STATS NOTES,1.0,1
"Sun, Mar 30",Cal State East Bay *,30,-,Hayward,12 - 0 (W) STATS NOTES,1.0,1
"Sun, Mar 30",Cal State East Bay *,30,-,Hayward,5 - 2 (W) STATS NOTES,1.0,1
"Thu, Apr 03",Cal State L.A. *,29,-,UC San Diego,6 - 3 (W) STATS NOTES,1.0,1
"Fri, Apr 04",Cal State L.A. *,29,-,UC San Diego,4 - 3 (W) STATS NOTES,1.0,1
"Sat, Apr 05",Cal State L.A. *,29,-,Los Angeles,13 - 2 (W) STATS NOTES,1.0,1
"Sat, Apr 05",Cal State L.A. *,29,-,Los Angeles,2 - 0 (W) (7) STATS NOTES,1.0,1
"Wed, Apr 09",California Baptist,24,27,Riverside,4 - 8 (L) STATS NOTES,0.0,0
"Fri, Apr 11",Cal State Stanislaus *,24,-,Turlock,13 - 4 (W) STATS NOTES,1.0,1
"Sat, Apr 12",Cal State Stanislaus *,24,-,Turlock,5 - 4 (W) (10) STATS NOTES,1.0,1
"Sat, Apr 12",Cal State Stanislaus *,24,-,Turlock,10 - 1 (W) (7) STATS NOTES,1.0,1
"Sun, Apr 13",Cal State Stanislaus *,24,-,Turlock,4 - 3 (W) STATS NOTES,1.0,1
"Thu, Apr 17",San Francisco State *,18,-,San Francisco,6 - 7 (L) STATS NOTES,0.0,1
"Fri, Apr 18",San Francisco State *,18,-,San Francisco,17 - 3 (W) STATS NOTES,1.0,1
"Fri, Apr 18",San Francisco State *,18,-,San Francisco,1 - 3 (L) (7) STATS NOTES,0.0,1
"Sat, Apr 19",San Francisco State *,18,-,San Francisco,6 - 4 (W) STATS NOTES,1.0,1
"Sat, Apr 26",Azusa Pacific,25,-,UC San Diego,11 - 7 (W) STATS NOTES,1.0,0
"Sat, Apr 26",Azusa Pacific,25,-,UC San Diego,16 - 0 (W) STATS NOTES,1.0,0
"Thu, May 01",Cal State San Bernardino *,20,-,San Bernardino,9 - 2 (W) STATS NOTES,1.0,1
"Fri, May 02",Cal State San Bernardino *,20,-,San Bernardino,9 - 6 (W) STATS NOTES,1.0,1
"Sat, May 03",Cal State San Bernardino *,20,-,UC San Diego,6 - 4 (W) STATS NOTES,1.0,1
"Sat, May 03",Cal State San Bernardino *,20,-,UC San Diego,3 - 4 (L) (7) STATS NOTES,0.0,1
"Thu, May 08",Chico State,18,9,Stockton (Banner Island Ballpark),5 - 3 (W) STATS NOTES,1.0,0
"Fri, May 09",Cal Poly Pomona,18,19,Stockton (Banner Island Ballpark),5 - 4 (W) (11) STATS NOTES,1.0,0
"Sat, May 10",Chico State,18,9,Stockton (Banner Island Ballpark),10 - 7 (W) STATS NOTES,1.0,0
"Thu, May 15",Sonoma State,15,-,UC San Diego,3 - 0 (W) STATS NOTES,1.0,0
"Fri, May 16",Cal Poly Pomona,15,RV,UC San Diego,20 - 5 (W) STATS NOTES,1.0,0
"Sat, May 17",Chico State,15,9,UC San Diego,5 - 6 (L) STATS NOTES,0.0,0
"Sat, May 17",California Baptist,15,16,UC San Diego,14 - 5 (W) STATS NOTES,1.0,0
"Sun, May 18",Chico State,15,9,UC San Diego,1 - 3 (L) STATS NOTES,0.0,0
